,answer,intent
1,"Vợ, chồng bình đẳng về mọi mặt trong gia đình, trong việc thực hiện các quyền, nghĩa vụ của công dân theo quy định trong Hiến pháp, Luật này và các luật khác có liên quan.",3_17
2,"Vợ, chồng có quyền, nghĩa vụ ngang nhau về mọi mặt trong gia đình, trong việc thực hiện các quyền, nghĩa vụ của công dân theo quy định trong Hiến pháp, Luật này và các luật khác có liên quan.",3_17
3,"Điều 18 quy định về quyền, nghĩa vụ về nhân thân của vợ, chồng theo Luật này, Bộ luật dân sự và các luật khác có liên quan.",3_18
4,"Quyền, nghĩa vụ về nhân thân của vợ, chồng được tôn trọng và bảo vệ theo quy định tại Luật này, Bộ luật dân sự và các luật khác có liên quan.",3_18
5,"Vợ chồng có nghĩa vụ thương yêu, chung thủy, tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; cùng nhau chia sẻ, thực hiện các công việc trong gia đình.",3_19_1
6,"Vợ chồng có nghĩa vụ sống chung với nhau trừ trường hợp có thỏa thuận khác hoặc do yêu cầu của nghề nghiệp, công tác, học tập, tham gia các hoạt động chính trị, kinh tế, văn hóa, xã hội và lý do chính đáng khác.",3_19_2
7,"Việc lựa chọn nơi cư trú của vợ chồng do vợ chồng thỏa thuận, không bị ràng buộc bởi phong tục, tập quán, địa giới hành chính.",3_20
8,"Vợ, chồng có nghĩa vụ tôn trọng, giữ gìn và bảo vệ danh dự, nhân phẩm, uy tín cho nhau.",3_21
9,"Vợ, chồng có quyền, nghĩa vụ tạo điều kiện, giúp đỡ nhau chọn nghề nghiệp; học tập, nâng cao trình độ văn hóa, chuyên môn, nghiệp vụ; tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội.",3_23
10,"Vợ, chồng có nghĩa vụ tôn trọng, giữ gìn và bảo vệ danh dự, nhân phẩm, uy tín cho nhau.",3_21
11,"Vợ, chồng có nghĩa vụ tôn trọng quyền tự do tín ngưỡng, tôn giáo của nhau.",3_22
12,"Vợ, chồng có quyền, nghĩa vụ tạo điều kiện, giúp đỡ nhau chọn nghề nghiệp; học tập, nâng cao trình độ văn hóa, chuyên môn, nghiệp vụ; tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội.",3_23
13,"Vợ, chồng có nghĩa vụ tôn trọng quyền tự do tín ngưỡng, tôn giáo của nhau.",3_22
14,"Vợ, chồng có nghĩa vụ thương yêu, chung thủy, tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; cùng nhau chia sẻ, thực hiện các công việc trong gia đình.",3_23
15,"Việc đại diện giữa vợ và chồng trong xác lập, thực hiện, chấm dứt giao dịch được xác định theo quy định của Luật này, Bộ luật dân sự và các luật khác có liên quan.",3_24_1
