,answer,intent
1,"Nghĩa vụ cấp dưỡng được thực hiện giữa cha, mẹ và con; giữa anh, chị, em với nhau; giữa ông bà nội, ông bà ngoại và cháu; giữa cô, dì, chú, cậu, bác ruột và cháu ruột; giữa vợ và chồng theo quy định của Luật Hôn Nhân và Gia Đình.",07_107_1
,"Nghĩa vụ cấp dưỡng được thực hiện giữa cha, mẹ và con; giữa anh, chị, em với nhau; giữa ông bà nội, ông bà ngoại và cháu; giữa cô, dì, chú, cậu, bác ruột và cháu ruột; giữa vợ và chồng theo quy định.",07_107_1
,"Không, nghĩa vụ cấp dưỡng không thể chuyển giao cho người khác",07_107_1
,"Không, nghĩa vụ cấp dưỡng không thể thay thế bằng nghĩa vụ khác",07_107_1
,"Có, nghĩa vụ cấp dưỡng được thực hiện giữa anh, chị, em với nhau.",07_107_1
,"Có.Theo quy định về nghĩa vụ cấp dưỡng, nghĩa vụ cấp dưỡng được thực hiện giữa vợ và chồng.",07_107_1
2,Nghĩa vụ cấp dưỡng không thể thay thế bằng nghĩa vụ khác và không thể chuyển giao cho người khác.,07_107_1
3,"Trong trường hợp người có nghĩa vụ nuôi dưỡng trốn tránh nghĩa vụ thì theo yêu cầu của cá nhân, cơ quan, tổ chức được quy định tại Điều 119 của Luật Hôn Nhân và Gia Đình, Tòa án buộc người đó phải thực hiện nghĩa vụ cấp dưỡng theo quy định của Luật Hôn Nhân và Gia Đình.",07_107_2
,"Trường hợp người có nghĩa vụ nuôi dưỡng trốn tránh nghĩa vụ thì theo yêu cầu của cá nhân, cơ quan, tổ chức. Tòa án buộc người đó phải thực hiện nghĩa vụ cấp dưỡng theo quy định.",07_107_2
,"Trường hợp người có nghĩa vụ nuôi dưỡng trốn tránh nghĩa vụ thì theo yêu cầu của cá nhân, cơ quan, tổ chức. Tòa án buộc người đó phải thực hiện nghĩa vụ cấp dưỡng theo quy định.",07_107_2
4,"Trong trường hợp một người có nghĩa vụ cấp dưỡng cho nhiều người thì người cấp dưỡng và những người được cấp dưỡng thỏa thuận với nhau về phương thức và mức cấp dưỡng phù hợp với thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cầu thiết yếu của những người được cấp dưỡng; nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết.",07_108
,"Được, trong trường hợp một người có nghĩa vụ cấp dưỡng cho nhiều người thì người cấp dưỡng và những người được cấp dưỡng thỏa thuận với nhau về phương thức và mức cấp dưỡng phù hợp với thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng vào nhu cầu thiết yếu của người được cấp dưỡng.",07_108
