,answer,intent
1,"Ở nước Cộng hòa xã hội chủ nghĩa Việt Nam, quan hệ hôn nhân và gia đình có yếu tố nước ngoài được tôn trọng và bảo vệ phù hợp với các quy định của pháp luật Việt Nam và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.",08_121_1
,"Có, quan hệ hôn nhân và gia đình có yếu tố nước ngoài được tôn trọng và bảo vệ phù hợp với các quy định của pháp luật Việt Nam.",08_121_1
2,"Trong quan hệ hôn nhân và gia đình với công dân Việt Nam, người nước ngoài tại Việt Nam có các quyền, nghĩa vụ như công dân Việt Nam, trừ trường hợp pháp luật Việt Nam có quy định khác.",08_121_2
,Đối với người nước ngoài tại Việt Nam khi kết hôn có các quyền và nghĩa vụ như công dân Việt Nam,08_121_2
,Đối với người nước ngoài tại Việt Nam khi kết hôn có các quyền và nghĩa vụ như công dân Việt Nam,08_121_2
3,"Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",08_121_3
,"Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",08_121_3
,"Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",08_121_3
4,"Chính phủ quy định chi tiết việc giải quyết quan hệ hôn nhân và gia đình có yếu tố nước ngoài nhằm bảo đảm quyền, lợi ích hợp pháp của các bên và bảo đảm thực hiện quy định tại khoản 2 Điều 5 của Luật Hôn Nhân và Gia Đình.",08_121_4
5,"Các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài, trừ trường hợp Luật này có quy định khác. Trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác với quy định của Luật này thì áp dụng quy định của điều ước quốc tế đó.",08_122_1
,"Có, các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài.",08_122_1
,"Có, các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài.",08_122_1
6,"Trong trường hợp Luật này và các văn bản pháp luật khác của Việt Nam có dẫn chiếu về việc áp dụng pháp luật nước ngoài, thì áp dụng pháp luật nước ngoài. Nếu việc áp dụng đó không trái với các nguyên tắc cơ bản được quy định tại Điều 2 của Luật này. Trong trường hợp pháp luật nước ngoài dẫn chiếu trở lại pháp luật Việt Nam thì áp dụng pháp luật về hôn nhân và gia đình Việt Nam.",08_122_2
7,Trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có dẫn chiếu về việc áp dụng pháp luật nước ngoài thì pháp luật nước ngoài được áp dụng.,08_123_1
,Thẩm quyền đăng ký hộ tịch liên quan đến các quan hệ hôn nhân và gia đình có yếu tố nước ngoài được thực hiện theo quy định của pháp luật về hộ tịch.,08_123_1
8,Thẩm quyền đăng ký hộ tịch liên quan đến các quan hệ hôn nhân và gia đình có yếu tố nước ngoài được thực hiện theo quy định của pháp luật về hộ tịch.,08_123_1
9,Thẩm quyền giải quyết các vụ việc hôn nhân và gia đình có yếu tố nước ngoài tại Tòa án được thực hiện theo quy định của Bộ luật tố tụng dân sự.,08_123_2
,Thẩm quyền giải quyết các vụ việc hôn nhân và gia đình có yếu tố nước ngoài tại Tòa án được thực hiện theo quy định của Bộ luật tố tụng dân sự.,08_123_2
10,"Tòa án nhân dân cấp huyện có thẩm quyền giải quyết việc hủy việc kết hôn trái pháp luật, giải quyết việc ly hôn, các tranh chấp về quyền và nghĩa vụ của vợ chồng, cha mẹ và con, về nhận cha, mẹ, con, nuôi con nuôi và giám hộ giữa công dân Việt Nam cư trú ở khu vực biên giới với công dân của nước láng giềng cùng cư trú ở khu vực biên giới với Việt Nam theo quy định của Luật này và các quy định khác của pháp luật Việt Nam.",08_123_3
,"Tòa án nhân dân cấp huyện có thẩm quyền hủy việc kết hôn trái pháp luật, giải quyết việc ly hôn, cũng như các tranh chấp liên quan đến quyền và nghĩa vụ của vợ chồng, cha mẹ và con. Ngoài ra, tòa án cũng xử lý vấn đề nhận cha, mẹ, con, nuôi con nuôi và giám hộ giữa công dân Việt Nam và công dân của nước láng giềng cùng cư trú ở khu vực biên giới với Việt Nam.",08_123_3
11,"Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận để sử dụng giải quyết các vụ việc hôn nhân và gia đình thì phải được hợp pháp hóa lãnh sự, trừ trường hợp được miễn hợp pháp hóa lãnh sự theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo nguyên tắc có đi có lại.",08_124
,"Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận cho việc giải quyết các vụ việc hôn nhân và gia đình được hợp pháp hóa lãnh sự, quy trình phải tuân theo các quy định pháp luật của quốc gia đó.",08_124
,"Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận cho việc giải quyết các vụ việc hôn nhân và gia đình được hợp pháp hóa lãnh sự, quy trình phải tuân theo các quy định pháp luật của quốc gia đó.",08_124
12,"Việc công nhận bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự.",08_125_1
,"Việc công nhân bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự",08_125_1
,"Việc công nhân bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự",08_125_1
13,"Chính phủ quy định việc ghi vào sổ hộ tịch các việc về hôn nhân và gia đình theo bản án, quyết định của Tòa án nước ngoài mà không có yêu cầu thi hành tại Việt Nam hoặc không có đơn yêu cầu không công nhận tại Việt Nam; quyết định về hôn nhân và gia đình của cơ quan khác có thẩm quyền của nước ngoài.",08_125_2
14,"Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo pháp luật của nước mình về điều kiện kết hôn; nếu việc kết hôn được tiến hành tại cơ quan nhà nước có thẩm quyền của Việt Nam thì người nước ngoài còn phải tuân theo các quy định của Luật này về điều kiện kết hôn.",08_126_1
,"Khi kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo luật của nước mình về điều kiện kết hôn.",08_126_1
,Nếu việc kết hôn được tiếng hành tại cơ quan nhà nước có thẩm quyền của Việt Nam thì người nước ngoài còn phải tuân theo các quy định của pháp luật Việt Nam về điều kiện kết hôn,08_126_1
15,Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam tại cơ quan có thẩm quyền của Việt Nam phải tuân theo các quy định của Luật này về điều kiện kết hôn.,08_126_2
,Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam tại cơ quan có thẩm quyền của Việt Nam phải tuân theo các quy định của Luật này về điều kiện kết hôn.,08_126_2
16,"Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết tại cơ quan có thẩm quyền của Việt Nam theo quy định của Luật này.",08_127_1
17,"Trong trường hợp bên là công dân Việt Nam không thường trú ở Việt Nam vào thời điểm yêu cầu ly hôn, việc ly hôn được giải quyết theo pháp luật của nước nơi thường trú chung của vợ chồng; nếu họ không có nơi thường trú chung thì giải quyết theo pháp luật Việt Nam.",08_127_2
18,Việc giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn tuân theo pháp luật của nước nơi có bất động sản đó.,08_127_3
,Việc giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn tuân theo pháp luật của nước nơi có bất động sản đó.,08_127_3
19,"Cơ quan đăng ký hộ tịch Việt Nam có thẩm quyền giải quyết việc xác định cha, mẹ, con mà không có tranh chấp giữa công dân Việt Nam với người nước ngoài, giữa công dân Việt Nam với nhau mà ít nhất một bên định cư ở nước ngoài, giữa người nước ngoài với nhau mà ít nhất một bên thường trú tại Việt Nam theo quy định của pháp luật về hộ tịch.",08_128_1
20,"Tòa án có thẩm quyền của Việt Nam giải quyết việc xác định cha, mẹ, con có yếu tố nước ngoài đối với các trường hợp quy định tại khoản 2 Điều 88, Điều 89, Điều 90, khoản 1, khoản 5 Điều 97, khoản 3, khoản 5 Điều 98 và Điều 99 của Luật này; các trường hợp khác có tranh chấp.",08_128_2
21,Nghĩa vụ cấp dưỡng tuân theo pháp luật của nước nơi người yêu cầu cấp dưỡng cư trú. Trường hợp người yêu cầu cấp dưỡng không có nơi cư trú tại Việt Nam thì áp dụng pháp luật của nước nơi người yêu cầu cấp dưỡng là công dân.,08_129_1
22,Cơ quan có thẩm quyền giải quyết đơn yêu cầu cấp dưỡng của người quy định tại khoản 1 Điều này là cơ quan của nước nơi người yêu cầu cấp dưỡng cư trú.,08_129_2
23,"Trong trường hợp có yêu cầu giải quyết việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận có yếu tố nước ngoài, cơ quan có thẩm quyền của Việt Nam sẽ áp dụng các quy định của Luật này và các luật khác có liên quan của Việt Nam để giải quyết.",08_130
24,"Việc giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có yếu tố nước ngoài sẽ được cơ quan có thẩm quyền của Việt Nam áp dụng các quy định của Luật này và các luật khác có liên quan của Việt Nam để giải quyết.",08_130
,"Sorry, I have no idea about your question.",No intent detected
