,question,answer,feedback,reward,category,intent
1,"Theo Chương VIII, Quan hệ hôn nhân và gia đình có yếu tố nước ngoài được tôn trọng như thế nào tại Việt Nam?","Ở nước Cộng hòa xã hội chủ nghĩa Việt Nam, quan hệ hôn nhân và gia đình có yếu tố nước ngoài được tôn trọng và bảo vệ phù hợp với các quy định của pháp luật Việt Nam và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.",,1,CHUONG08,08_121_1
,Kết hôn với người nước ngoài có pháp luật nước ta công nhận không?,"Có, quan hệ hôn nhân và gia đình có yếu tố nước ngoài được tôn trọng và bảo vệ phù hợp với các quy định của pháp luật Việt Nam.",,1,,08_121_1
2,"Người nước ngoài tại Việt Nam trong quan hệ hôn nhân và gia đình có quyền, nghĩa vụ như thế nào?","Trong quan hệ hôn nhân và gia đình với công dân Việt Nam, người nước ngoài tại Việt Nam có các quyền, nghĩa vụ như công dân Việt Nam, trừ trường hợp pháp luật Việt Nam có quy định khác.",,1,CHUONG08,08_121_2
,"Khi kết hôn với người nước ngoài, thì quyền và nghĩa vụ của họ có được công nhận không?",Đối với người nước ngoài tại Việt Nam khi kết hôn có các quyền và nghĩa vụ như công dân Việt Nam,,1,,08_121_2
,Người nước ngoài khi kết hôn với người Việt thì có nghĩa vụ và quyền gì?,Đối với người nước ngoài tại Việt Nam khi kết hôn có các quyền và nghĩa vụ như công dân Việt Nam,,1,,08_121_2
3,"Nhà nước Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình như thế nào?","Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",,1,CHUONG08,08_121_3
,Chồng là người nước ngoài kết hôn với vợ Việt thì quyền và lợi ích của vợ khi ở nước ngoài như thế nào?,"Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",,1,,08_121_3
,Khi kết hôn với người nước ngoài thì người Việt có được bảo vệ phong tục tập quán không?,"Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam bảo hộ quyền, lợi ích hợp pháp của công dân Việt Nam ở nước ngoài trong quan hệ hôn nhân và gia đình phù hợp với pháp luật Việt Nam, pháp luật của nước sở tại, pháp luật và tập quán quốc tế.",,1,,08_121_3
4,Chính phủ có quy định chi tiết gì về việc giải quyết quan hệ hôn nhân và gia đình có yếu tố nước ngoài?,"Chính phủ quy định chi tiết việc giải quyết quan hệ hôn nhân và gia đình có yếu tố nước ngoài nhằm bảo đảm quyền, lợi ích hợp pháp của các bên và bảo đảm thực hiện quy định tại khoản 2 Điều 5 của Luật Hôn Nhân và Gia Đình.",,1,CHUONG08,08_121_4
5,Pháp luật nào áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài?,"Các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài, trừ trường hợp Luật này có quy định khác. Trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác với quy định của Luật này thì áp dụng quy định của điều ước quốc tế đó.",,1,CHUONG08,08_122_1
