,question,answer,feedback,reward,category,intent
1,Quyền và nghĩa vụ của cha mẹ và con theo quy định tại Luật Hôn Nhân và Gia Đình và các luật khác có liên quan được thể hiện như thế nào?,"Theo quy định của Điều 68, quyền và nghĩa vụ của cha mẹ và con được tôn trọng và bảo vệ theo quy định của Luật Hôn nhân và Gia đình, Bộ luật dân sự và các luật khác có liên quan.",,1,CHUONG05,05_68_1
,Quyền và nghĩa vụ của cha mẹ và con có mối quan hệ gì với các bộ luật khác không?,"Có, quyền và nghĩa vụ của cha mẹ và con theo quy định tại luật Hôn nhân và gia đình điều 68, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",,1,CHUONG05,05_68_1
,Quyền và nghĩa vụ của cha mẹ và con có liên quan các bộ luật nào?,"Quyền và nghĩa vụ của cha mẹ và con theo quy định tại luật Hôn nhân và gia đình điều 68, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",,1,CHUONG05,05_68_1
2,Con sinh ra có quyền và nghĩa vụ như nhau đối với cha mẹ không phụ thuộc vào tình trạng hôn nhân của họ như thế nào?,"Theo Điều 68, con sinh ra không phụ thuộc vào tình trạng hôn nhân của cha mẹ và đều có quyền và nghĩa vụ như nhau đối với cha mẹ của mình, được quy định tại Luật Hôn nhân và Gia đình, Bộ luật dân sự và các luật khác có liên quan.",,1,CHUONG05,05_68_2
,Quyền và nghĩa vụ của con sinh ra không phụ thuộc vào tình trang hôn nhân của cha mẹ?,"Con sinh ra không phụ thuộc vào tình trạng hôn nhân của cha mẹ đều có quyền và nghĩa vụ như nhau đối với cha mẹ của mình được quy định tại Luật Hôn nhân và gia đình, Bộ luật dân sư và các luật khác có liên quan",,1,CHUONG05,05_68_2
3,Quyền và nghĩa vụ của con nuôi và mẹ nuôi giữa họ được quy định như thế nào?,"Theo quy định của Điều 68, giữa con nuôi và cha nuôi, mẹ nuôi có các quyền và nghĩa vụ của cha mẹ và con được quy định tại Luật Hôn nhân và Gia đình, Luật nuôi con nuôi, Bộ luật dân sự và các luật khác có liên quan.",,1,CHUONG05,05_68_3
4,Mọi thỏa thuận liên quan đến quan hệ nhân thân và tài sản giữa cha mẹ và con phải tuân theo quy định gì?,"Mọi thỏa thuận của cha mẹ, con liên quan đến quan hệ nhân thân và tài sản không được làm ảnh hưởng đến quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình, cha mẹ mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG05,05_68_4
,Điều kiện nào khiến cho thỏa thuận giữa cha mẹ và con cái không được phép ảnh hưởng đến quyền lợi hợp pháp của con chưa thành niên?,"Mọi thỏa thuận của cha mẹ, con liên quan đến quan hệ nhân thân và tài sản không được làm ảnh hưởng đến quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự",,1,CHUONG05,05_68_4
5,Nêu nghĩa vụ và quyền của cha mẹ theo luật hôn nhân và gia đình Việt Nam?,"Theo Điều 69, cha mẹ có nghĩa vụ và quyền bao gồm thương yêu con, tôn trọng ý kiến của con; chăm lo việc học tập, giáo dục để con phát triển lành mạnh về thể chất, trí tuệ, đạo đức, trở thành người con hiếu thảo của gia đình, công dân có ích cho xã hội. Đồng thời, cha mẹ cũng có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Cha mẹ còn có trách nhiệm giám hộ hoặc đại diện theo quy định của Bộ luật dân sự cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. Đồng thời, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_69_1
,Quyền của cha mẹ đối với con đã thành niên nhưng mất năng lực hành vị dân sự?,"Trông nom, nuôi dưỡng, chăm sóc bảo vệ quyền, lợi ích hợp pháp của con đã thành niên nhưng mất hành vị dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Giám hộ hoặc đại diện theo quy định của Bộ luật dân sư, không được phân biệt đối xử với con trên cơ sở giới tính hoặc theo tình trạng hôn nhân của cha mẹ. Không được lạm dụng sức lao động của con đã thành niên nhưng mất năng lực dân sự hoặc không có khả năng lao động, không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_69_1
